# Hix (Oe),Hop (Oe),tp (ms),exp_index,V_{xc} (\mu m s^{-1}) , V_{yc} (\mu m s^{-1}), V_{a} (\mu m s^{-1}), b (\mu m s^{-1})
0.000000000000000000e+00,-2.000000000000000000e+01,3.000000000000000000e+02,0.000000000000000000e+00,-2.741228070175630305e-01,-4.385964912280886918e-01,6.312134502923976953e+01,3.002558479532163460e+01
0.000000000000000000e+00,-1.000000000000000000e+01,6.500000000000000000e+03,1.000000000000000000e+00,8.434547908222236705e-04,-5.651147098515745676e-02,3.322368421052632304e+00,1.484480431848853144e+00
