# Hix (Oe),Hop (Oe),tp (ms),exp_index,V_{xc} (\mu m s^{-1}) , V_{yc} (\mu m s^{-1}), V_{a} (\mu m s^{-1}), b (\mu m s^{-1})
0.000000000000000000e+00,-2.000000000000000000e+01,3.000000000000000000e+02,0.000000000000000000e+00,-6.657268170426087206e-01,-5.874060150376059219e-01,6.277412280701757652e+01,3.089755639097746354e+01
0.000000000000000000e+00,-1.000000000000000000e+01,6.500000000000000000e+03,1.000000000000000000e+00,3.152585119798186758e-02,-5.019247361784224398e-02,3.271014468706443523e+00,1.520085285723767443e+00
